Id,Activity Date,Total Steps,Total Dis.,Tracker Dis.,Logged Activities Dis.,Very Active Dis.,Moderately Active Dis.,Lightly Active Dis.,Sedentary Active Dis.,Very Active Min.,Moderately Active Min.,Lightly Active Min.,Sedentary Min.,Calories,,,,
1624580081,4/21/2016,6349,4.13 miles,4.13 miles,. miles,. miles,4.11 miles,. miles,.02 miles,0:00,3:06,0:00,20:54,1467,,,,
1624580081,4/22/2016,4026,2.62 miles,2.62 miles,. miles,. miles,2.6 miles,. miles,. miles,0:00,3:19,0:00,20:41,1470,,,,
1624580081,4/23/2016,8538,5.55 miles,5.55 miles,. miles,. miles,5.54 miles,. miles,.01 miles,0:00,3:47,0:00,20:13,1562,,,,
1624580081,4/24/2016,6076,3.95 miles,3.95 miles,. miles,1.15 miles,1.89 miles,.91 miles,. miles,0:16,3:05,0:18,20:21,1617,,,,
1624580081,4/25/2016,6497,4.22 miles,4.22 miles,. miles,. miles,4.2 miles,. miles,.02 miles,0:00,3:22,0:00,20:38,1492,,,,
1624580081,4/26/2016,2826,1.84 miles,1.84 miles,. miles,. miles,1.83 miles,. miles,.01 miles,0:00,2:20,0:00,21:40,1402,,,,
1624580081,4/27/2016,8367,5.44 miles,5.44 miles,. miles,1.11 miles,2.46 miles,1.87 miles,. miles,0:17,2:34,0:36,20:33,1670,,,,
1624580081,4/28/2016,2759,1.79 miles,1.79 miles,. miles,. miles,1.6 miles,.2 miles,. miles,0:00,1:55,0:05,22:00,1401,,,,
1624580081,4/29/2016,2390,1.55 miles,1.55 miles,. miles,. miles,1.55 miles,. miles,. miles,0:00,2:30,0:00,21:30,1404,,,,
1624580081,4/30/2016,6474,4.3 miles,4.3 miles,. miles,.9 miles,2.12 miles,1.28 miles,.01 miles,0:11,3:44,0:23,19:42,1655,,,,
1624580081,5/1/2016,36019,28.03 miles,28.03 miles,. miles,21.92 miles,1.91 miles,4.19 miles,.02 miles,3:06,2:51,1:03,17:00,2690,,,,
1624580081,5/2/2016,7155,4.93 miles,4.93 miles,. miles,.86 miles,3.47 miles,.59 miles,. miles,0:07,2:46,0:06,21:01,1497,,,,
1624580081,5/3/2016,2100,1.37 miles,1.37 miles,. miles,. miles,1.34 miles,. miles,.02 miles,0:00,1:36,0:00,22:24,1334,,,,
1624580081,5/4/2016,2193,1.43 miles,1.43 miles,. miles,. miles,1.42 miles,. miles,. miles,0:00,1:58,0:00,22:02,1368,,,,
1624580081,5/5/2016,2470,1.61 miles,1.61 miles,. miles,. miles,1.58 miles,. miles,.02 miles,0:00,1:57,0:00,22:03,1370,,,,
1624580081,5/6/2016,1727,1.12 miles,1.12 miles,. miles,. miles,1.12 miles,. miles,.01 miles,0:00,1:42,0:00,22:18,1341,,,,
1624580081,5/7/2016,2104,1.37 miles,1.37 miles,. miles,. miles,1.37 miles,. miles,. miles,0:00,3:02,0:00,20:58,1474,,,,
1624580081,5/8/2016,3427,2.23 miles,2.23 miles,. miles,. miles,2.22 miles,. miles,. miles,0:00,2:32,0:00,21:28,1427,,,,
1624580081,5/9/2016,1732,1.13 miles,1.13 miles,. miles,. miles,1.13 miles,. miles,. miles,0:00,1:31,0:00,22:29,1328,,,,
1624580081,5/10/2016,2969,1.93 miles,1.93 miles,. miles,. miles,1.92 miles,. miles,.01 miles,0:00,2:19,0:00,21:41,1393,,,,
1624580081,5/11/2016,3134,2.04 miles,2.04 miles,. miles,. miles,2.04 miles,. miles,. miles,0:00,1:52,0:00,22:08,1359,,,,
1624580081,5/12/2016,2971,1.93 miles,1.93 miles,. miles,. miles,1.92 miles,. miles,.01 miles,0:00,1:47,0:00,14:50,1002,,,,
1644430081,4/12/2016,10694,7.77 miles,7.77 miles,. miles,.14 miles,5.33 miles,2.3 miles,. miles,0:02,4:16,0:51,18:51,3199,,,,
1644430081,4/13/2016,8001,5.82 miles,5.82 miles,. miles,2.28 miles,2.64 miles,.9 miles,. miles,0:30,2:15,0:16,20:59,2902,,,,
1644430081,4/14/2016,11037,8.02 miles,8.02 miles,. miles,.36 miles,5.1 miles,2.56 miles,. miles,0:05,4:12,0:58,18:45,3226,,,,
1644430081,4/15/2016,5263,3.83 miles,3.83 miles,. miles,.22 miles,3.45 miles,.15 miles,. miles,0:03,2:50,0:04,21:03,2750,,,,
1644430081,4/16/2016,15300,11.12 miles,11.12 miles,. miles,4.1 miles,5.09 miles,1.88 miles,. miles,0:51,3:32,0:42,18:55,3493,,,,
1644430081,4/17/2016,8757,6.37 miles,6.37 miles,. miles,2.25 miles,3.55 miles,.57 miles,. miles,0:29,3:06,0:13,20:12,3011,,,,
1644430081,4/18/2016,7132,5.19 miles,5.19 miles,. miles,1.07 miles,2.45 miles,1.67 miles,. miles,0:15,2:01,0:33,21:11,2806,,,,
1644430081,4/19/2016,11256,8.18 miles,8.18 miles,. miles,.36 miles,5.3 miles,2.53 miles,. miles,0:05,4:38,0:58,18:19,3300,,,,
1644430081,4/20/2016,2436,1.77 miles,1.77 miles,. miles,. miles,1.76 miles,. miles,.01 miles,0:00,2:05,0:00,21:55,2430,,,,
1644430081,4/21/2016,1223,.89 miles,.89 miles,. miles,. miles,.88 miles,. miles,.01 miles,0:00,0:38,0:00,23:22,2140,,,,
1644430081,4/22/2016,3673,2.67 miles,2.67 miles,. miles,. miles,2.66 miles,. miles,.01 miles,0:00,1:26,0:00,22:34,2344,,,,
1644430081,4/23/2016,6637,4.83 miles,4.83 miles,. miles,. miles,4.25 miles,.58 miles,. miles,0:00,2:40,0:15,21:05,2677,,,,
1644430081,4/24/2016,3321,2.41 miles,2.41 miles,. miles,. miles,2.41 miles,. miles,. miles,0:00,1:29,0:00,22:31,2413,,,,
1644430081,4/25/2016,3580,2.6 miles,2.6 miles,. miles,.59 miles,1.95 miles,.06 miles,. miles,0:08,1:34,0:01,22:17,2497,,,,
1644430081,4/26/2016,9919,7.21 miles,7.21 miles,. miles,.8 miles,4.69 miles,1.72 miles,. miles,0:11,3:43,0:41,19:25,3123,,,,
1644430081,4/27/2016,3032,2.2 miles,2.2 miles,. miles,. miles,2.2 miles,. miles,. miles,0:00,1:58,0:00,22:02,2489,,,,
1644430081,4/28/2016,9405,6.84 miles,6.84 miles,. miles,.2 miles,4.31 miles,2.32 miles,. miles,0:03,3:47,0:53,19:17,3108,,,,
1644430081,4/29/2016,3176,2.31 miles,2.31 miles,. miles,. miles,2.31 miles,. miles,. miles,0:00,2:00,0:00,19:53,2498,,,,
1644430081,4/30/2016,18213,13.24 miles,13.24 miles,. miles,.63 miles,9.46 miles,3.14 miles,. miles,0:09,6:42,1:11,13:36,3846,,,,
1644430081,5/1/2016,6132,4.46 miles,4.46 miles,. miles,.24 miles,3.23 miles,.99 miles,. miles,0:03,2:26,0:24,15:08,2696,,,,
1644430081,5/2/2016,3758,2.73 miles,2.73 miles,. miles,.07 miles,2.35 miles,.31 miles,. miles,0:01,2:28,0:07,11:22,2580,,,,
1644430081,5/3/2016,12850,9.34 miles,9.34 miles,. miles,.72 miles,4.54 miles,4.09 miles,. miles,0:10,3:41,1:34,18:35,3324,,,,
1644430081,5/4/2016,2309,1.68 miles,1.68 miles,. miles,. miles,1.66 miles,. miles,.02 miles,0:00,0:52,0:00,23:08,2222,,,,
1644430081,5/5/2016,4363,3.19 miles,3.19 miles,. miles,.52 miles,2.13 miles,.54 miles,.01 miles,0:06,1:21,0:12,22:21,2463,,,,
1644430081,5/6/2016,9787,7.12 miles,7.12 miles,. miles,.82 miles,6.01 miles,.27 miles,.02 miles,0:11,6:09,0:06,17:34,3328,,,,
1644430081,5/7/2016,13372,9.72 miles,9.72 miles,. miles,3.26 miles,5.67 miles,.79 miles,.01 miles,0:41,4:03,0:17,18:59,3404,,,,
1644430081,5/8/2016,6724,4.89 miles,4.89 miles,. miles,. miles,4.88 miles,. miles,. miles,0:00,4:55,0:00,16:31,2987,,,,
1644430081,5/9/2016,6643,4.83 miles,4.83 miles,. miles,2.39 miles,2.09 miles,.35 miles,.01 miles,0:32,5:03,0:06,18:19,3008,,,,
1644430081,5/10/2016,9167,6.66 miles,6.66 miles,. miles,.88 miles,4.97 miles,.81 miles,.01 miles,0:12,2:35,0:19,20:54,2799,,,,
1644430081,5/11/2016,1329,.97 miles,.97 miles,. miles,. miles,.95 miles,. miles,.01 miles,0:00,0:49,0:00,11:53,1276,,,,
1844505072,4/12/2016,6697,4.43 miles,4.43 miles,. miles,. miles,4.43 miles,. miles,. miles,0:00,5:39,0:00,18:21,2030,,,,
1844505072,4/13/2016,4929,3.26 miles,3.26 miles,. miles,. miles,3.26 miles,. miles,. miles,0:00,4:08,0:00,19:52,1860,,,,
1844505072,4/14/2016,7937,5.25 miles,5.25 miles,. miles,. miles,5.23 miles,. miles,. miles,0:00,6:13,0:00,14:03,2130,,,,
1844505072,4/15/2016,3844,2.54 miles,2.54 miles,. miles,. miles,2.54 miles,. miles,. miles,0:00,2:56,0:00,8:47,1725,,,,
1844505072,4/16/2016,3414,2.26 miles,2.26 miles,. miles,. miles,2.26 miles,. miles,. miles,0:00,2:27,0:00,21:33,1657,,,,
1844505072,4/17/2016,4525,2.99 miles,2.99 miles,. miles,.14 miles,2.59 miles,.26 miles,. miles,0:02,3:19,0:08,20:31,1793,,,,
1844505072,4/18/2016,4597,3.04 miles,3.04 miles,. miles,. miles,2.56 miles,.48 miles,. miles,0:00,3:37,0:12,20:11,1814,,,,
1844505072,4/19/2016,197,.13 miles,.13 miles,. miles,. miles,.13 miles,. miles,. miles,0:00,0:10,0:00,23:50,1366,,,,
1844505072,4/20/2016,8,.01 miles,.01 miles,. miles,. miles,.01 miles,. miles,. miles,0:00,0:01,0:00,23:59,1349,,,,
1844505072,4/21/2016,8054,5.32 miles,5.32 miles,. miles,.12 miles,4.68 miles,.52 miles,. miles,0:02,5:08,0:13,18:37,2062,,,,
1844505072,4/22/2016,5372,3.55 miles,3.55 miles,. miles,. miles,3.55 miles,. miles,. miles,0:00,3:40,0:00,20:20,1827,,,,
1844505072,4/23/2016,3570,2.36 miles,2.36 miles,. miles,. miles,2.36 miles,. miles,. miles,0:00,2:19,0:00,21:41,1645,,,,
1844505072,4/24/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,4/25/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,4/26/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,4/27/2016,4,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:01,0:00,23:59,1348,,,,
1844505072,4/28/2016,6907,4.57 miles,4.57 miles,. miles,. miles,4.56 miles,. miles,. miles,0:00,5:02,0:00,18:58,1992,,,,
1844505072,4/29/2016,4920,3.25 miles,3.25 miles,. miles,. miles,3.25 miles,. miles,. miles,0:00,4:07,0:00,18:02,1856,,,,
1844505072,4/30/2016,4014,2.67 miles,2.67 miles,. miles,. miles,2.65 miles,. miles,. miles,0:00,3:04,0:00,3:38,1763,,,,
1844505072,5/1/2016,2573,1.7 miles,1.7 miles,. miles,. miles,1.45 miles,.26 miles,. miles,0:00,1:15,0:07,9:45,1541,,,,
1844505072,5/2/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1348,,,,
1844505072,5/3/2016,4059,2.68 miles,2.68 miles,. miles,. miles,2.68 miles,. miles,. miles,0:00,3:04,0:00,20:56,1742,,,,
1844505072,5/4/2016,2080,1.37 miles,1.37 miles,. miles,. miles,1.37 miles,. miles,. miles,0:00,1:27,0:00,22:33,1549,,,,
1844505072,5/5/2016,2237,1.48 miles,1.48 miles,. miles,. miles,1.48 miles,. miles,. miles,0:00,2:00,0:00,22:00,1589,,,,
1844505072,5/6/2016,44,.03 miles,.03 miles,. miles,. miles,.03 miles,. miles,. miles,0:00,0:02,0:00,23:58,1351,,,,
1844505072,5/7/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,5/8/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,5/9/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,5/10/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,5/11/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,1347,,,,
1844505072,5/12/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,11:51,665,,,,
1927972279,4/12/2016,678,.47 miles,.47 miles,. miles,. miles,.47 miles,. miles,. miles,0:00,0:55,0:00,12:14,2220,,,,
1927972279,4/13/2016,356,.25 miles,.25 miles,. miles,. miles,.25 miles,. miles,. miles,0:00,0:32,0:00,16:26,2151,,,,
1927972279,4/14/2016,2163,1.5 miles,1.5 miles,. miles,. miles,1.1 miles,.4 miles,. miles,0:00,1:28,0:09,21:32,2383,,,,
1927972279,4/15/2016,980,.68 miles,.68 miles,. miles,. miles,.68 miles,. miles,. miles,0:00,0:51,0:00,15:41,2221,,,,
1927972279,4/16/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2064,,,,
1927972279,4/17/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,4/18/2016,244,.17 miles,.17 miles,. miles,. miles,.17 miles,. miles,. miles,0:00,0:17,0:00,23:43,2111,,,,
1927972279,4/19/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,4/20/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,4/21/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2064,,,,
1927972279,4/22/2016,149,.1 miles,.1 miles,. miles,. miles,.1 miles,. miles,. miles,0:00,0:10,0:00,23:50,2093,,,,
1927972279,4/23/2016,2945,2.04 miles,2.04 miles,. miles,. miles,2.04 miles,. miles,. miles,0:00,2:25,0:00,21:35,2499,,,,
1927972279,4/24/2016,2090,1.45 miles,1.45 miles,. miles,.07 miles,1.14 miles,.24 miles,. miles,0:01,1:15,0:06,22:38,2324,,,,
1927972279,4/25/2016,152,.11 miles,.11 miles,. miles,. miles,.11 miles,. miles,. miles,0:00,0:12,0:00,21:43,2100,,,,
1927972279,4/26/2016,3761,2.6 miles,2.6 miles,. miles,. miles,2.6 miles,. miles,. miles,0:00,3:12,0:00,17:38,2638,,,,
1927972279,4/27/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,4/28/2016,1675,1.16 miles,1.16 miles,. miles,. miles,1.16 miles,. miles,. miles,0:00,1:35,0:00,19:27,2351,,,,
1927972279,4/29/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,4/30/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2064,,,,
1927972279,5/1/2016,2704,1.87 miles,1.87 miles,. miles,1.01 miles,.83 miles,.03 miles,. miles,0:14,1:10,0:01,22:35,2411,,,,
1927972279,5/2/2016,3790,2.62 miles,2.62 miles,. miles,1.16 miles,1.16 miles,.3 miles,. miles,0:16,1:34,0:08,22:02,2505,,,,
1927972279,5/3/2016,1326,.92 miles,.92 miles,. miles,.73 miles,.18 miles,. miles,. miles,0:10,0:17,0:00,23:33,2195,,,,
1927972279,5/4/2016,1786,1.24 miles,1.24 miles,. miles,. miles,1.24 miles,. miles,. miles,0:00,1:27,0:00,22:33,2338,,,,
1927972279,5/5/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,5/6/2016,2091,1.45 miles,1.45 miles,. miles,. miles,1.45 miles,. miles,. miles,0:00,1:48,0:00,22:12,2383,,,,
1927972279,5/7/2016,1510,1.04 miles,1.04 miles,. miles,. miles,1.04 miles,. miles,. miles,0:00,0:48,0:00,23:12,2229,,,,
1927972279,5/8/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,5/9/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,5/10/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,5/11/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,24:00,2063,,,,
1927972279,5/12/2016,0,. miles,. miles,. miles,. miles,. miles,. miles,. miles,0:00,0:00,0:00,16:06,1383,,,,
2022484408,4/12/2016,11875,8.34 miles,8.34 miles,. miles,3.31 miles,4.26 miles,.77 miles,. miles,0:42,3:47,0:14,19:17,2390,,,,
2022484408,4/13/2016,12024,8.5 miles,8.5 miles,. miles,2.99 miles,5.41 miles,.1 miles,. miles,0:43,4:52,0:05,18:20,2601,,,,
2022484408,4/14/2016,10690,7.5 miles,7.5 miles,. miles,2.48 miles,4.82 miles,.21 miles,. miles,0:32,4:17,0:03,19:08,2312,,,,
2022484408,4/15/2016,11034,8.03 miles,8.03 miles,. miles,1.94 miles,5.78 miles,.31 miles,. miles,0:27,4:42,0:09,18:42,2525,,,,
2022484408,4/16/2016,10100,7.09 miles,7.09 miles,. miles,3.15 miles,3.39 miles,.55 miles,. miles,0:41,2:31,0:11,20:37,2177,,,,
2022484408,4/17/2016,15112,11.4 miles,11.4 miles,. miles,3.87 miles,6.88 miles,.66 miles,. miles,0:28,5:31,0:29,17:32,2782,,,,
2022484408,4/18/2016,14131,10.07 miles,10.07 miles,. miles,3.64 miles,6.3 miles,.12 miles,. miles,0:48,5:11,0:03,17:58,2770,,,,
2022484408,4/19/2016,11548,8.53 miles,8.53 miles,. miles,3.29 miles,5. miles,.24 miles,. miles,0:31,4:10,0:07,19:12,2489,,,,
2022484408,4/20/2016,15112,10.67 miles,10.67 miles,. miles,3.34 miles,5.4 miles,1.93 miles,. miles,0:48,4:36,1:03,17:33,2897,,,,
2022484408,4/21/2016,12453,8.74 miles,8.74 miles,. miles,3.33 miles,4.31 miles,1.11 miles,. miles,1:44,4:15,0:53,17:08,3158,,,,
2022484408,4/22/2016,12954,9.33 miles,9.33 miles,. miles,4.43 miles,4.47 miles,.42 miles,. miles,0:52,4:33,0:10,18:25,2638,,,,
2022484408,4/23/2016,6001,4.21 miles,4.21 miles,. miles,. miles,4.21 miles,. miles,. miles,0:00,4:09,0:00,19:51,2069,,,,
2022484408,4/24/2016,13481,10.28 miles,10.28 miles,. miles,4.55 miles,4.58 miles,1.15 miles,. miles,0:37,3:36,0:26,19:21,2529,,,,
2022484408,4/25/2016,11369,8.01 miles,8.01 miles,. miles,3.33 miles,4.46 miles,.22 miles,. miles,0:44,3:37,0:08,19:31,2470,,,,
2022484408,4/26/2016,10119,7.19 miles,7.19 miles,. miles,1.43 miles,5.11 miles,.66 miles,. miles,0:55,4:35,0:24,18:06,2793,,,,
2022484408,4/27/2016,10159,7.13 miles,7.13 miles,. miles,1.04 miles,5.12 miles,.97 miles,. miles,0:19,4:42,0:20,18:39,2463,,,,
2022484408,4/28/2016,10140,7.12 miles,7.12 miles,. miles,.41 miles,5.39 miles,1.33 miles,. miles,0:06,4:51,0:20,18:43,2296,,,,
2022484408,4/29/2016,10245,7.19 miles,7.19 miles,. miles,.48 miles,5.5 miles,1.21 miles,. miles,0:21,4:41,0:40,18:18,2611,,,,
2022484408,4/30/2016,18387,12.91 miles,12.91 miles,. miles,.94 miles,10.57 miles,1.4 miles,. miles,0:13,6:01,0:23,17:23,2732,,,,
2022484408,5/1/2016,10538,7.4 miles,7.4 miles,. miles,1.94 miles,4.5 miles,.96 miles,. miles,0:25,4:05,0:28,19:02,2380,,,,
2022484408,5/2/2016,10379,7.29 miles,7.29 miles,. miles,2.61 miles,4.33 miles,.34 miles,. miles,0:36,4:37,0:08,18:39,2473,,,,
2022484408,5/3/2016,12183,8.74 miles,8.74 miles,. miles,3.99 miles,4.28 miles,.46 miles,. miles,1:12,4:10,0:14,18:24,2752,,,,
2022484408,5/4/2016,11768,8.29 miles,8.29 miles,. miles,2.51 miles,4.85 miles,.93 miles,. miles,0:36,4:32,0:27,18:25,2649,,,,
2022484408,5/5/2016,11895,8.35 miles,8.35 miles,. miles,2.79 miles,4.7 miles,.86 miles,. miles,0:55,4:13,0:20,18:32,2609,,,,
2022484408,5/6/2016,10227,7.18 miles,7.18 miles,. miles,1.87 miles,4.64 miles,.67 miles,. miles,0:24,4:55,0:17,18:24,2498,,,,
2022484408,5/7/2016,6708,4.71 miles,4.71 miles,. miles,1.61 miles,3.02 miles,.08 miles,. miles,0:20,2:29,0:02,21:09,1995,,,,
